session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,First language,Nationality,Sex,Student Status,Vision
5fb507c310934c32ff658109,56c81007ba8e37000d7b211e,RETURNED,2020-11-18 11:38:48.602000,,1040191.312725,46,528,16,96,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5fb507c4c5cca80e61015f9b,5f60e26f6645ca0667205a11,APPROVED,2020-11-18 11:38:44.289000,2020-11-18 11:45:25.662000,401.373,19,34,0,100,2020-11-18 12:02:48.653000,12297024,Poland,Poland,Full-Time,,English,Poland,Male,Yes,Yes
5fb507c4e51db51de7e5a3e8,5be09c0b8fc4d600011b8028,APPROVED,2020-11-18 11:38:51.063000,2020-11-18 11:42:44.966000,233.903,57,267,3,99,2020-11-18 12:02:51.881000,12297024,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Female,No,Yes
5fb507c5340ae60f1cc72bf4,5f591a5a9a49e211efead835,APPROVED,2020-11-18 11:39:13.394000,2020-11-18 11:44:30.662000,317.268,32,67,0,100,2020-11-18 12:02:55.746000,12297024,United Kingdom,United Kingdom,Full-Time,DATA EXPIRED,English,United Kingdom,Female,No,Yes
5fb507c8de13e432f279c614,593871d4536c28000168c04c,APPROVED,2020-11-18 11:38:51.290000,2020-11-18 11:43:35.742000,284.452,56,438,3,100,2020-11-18 12:02:58.836000,12297024,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,No,Yes
5fb507ca68473233782f07a5,5ef1bb10c673fd7d2d14e439,APPROVED,2020-11-18 11:38:53.995000,2020-11-18 11:44:53.288000,359.293,38,73,0,100,2020-11-18 12:03:03.685000,12297024,Ireland,United Kingdom,Unemployed (and job seeking),English,English,Ireland,Female,No,Yes
5fb507ccba6940337670d4e8,5f4e7168ebe77d045b2ca450,APPROVED,2020-11-18 11:38:57.980000,2020-11-18 11:41:35.950000,157.97,25,14,0,100,2020-11-18 12:03:07.060000,12297024,Ireland,United Kingdom,Full-Time,DATA EXPIRED,English,Ireland,Male,No,Yes
5fb507cde1263a0ed6a11aca,5863ab01ac950900013dd9dd,APPROVED,2020-11-18 11:38:53.617000,2020-11-18 11:42:40.732000,227.115,56,1293,5,100,2020-11-18 12:03:10.261000,12297024,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No,Yes
5fb507ce69209a335b05997d,5f3bccb10da2a70993ec38f2,APPROVED,2020-11-18 11:38:54.160000,2020-11-18 11:42:26.772000,212.612,26,63,1,100,2020-11-18 12:03:17.706000,12297024,United Kingdom,United Kingdom,Full-Time,DATA EXPIRED,English,United Kingdom,Female,No,Yes
5fb507d1a5382532f1843d82,5c9034a2eedbd9001573ca14,APPROVED,2020-11-18 11:39:02.733000,2020-11-18 11:43:44.602000,281.869,56,353,2,100,2020-11-18 12:03:21.013000,12297024,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United Kingdom,Male,No,Yes
5fb507d2cca41f31025fdf43,5ee39beb9a95ae03616febfd,APPROVED,2020-11-18 11:39:02.075000,2020-11-18 11:41:28.115000,146.04,31,156,0,100,2020-11-18 12:03:25.682000,12297024,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,No,Yes
5fb507d2fe4b740ebda5d677,5eaab5089bd8cd013d6837ee,APPROVED,2020-11-18 11:39:07.574000,2020-11-18 11:44:39.564000,331.99,36,46,0,100,2020-11-18 12:03:28.965000,12297024,United Kingdom,United Kingdom,Part-Time,English,,United Kingdom,Male,No,Yes
