success,trial_type,trial_index,time_elapsed,internal_node_id,protocol_sum,subject_sum,followed_instructions,view_history,rt,set_size,target_present,RT,response,target_position,distractor_positions,jitter,correct_response,test_part,correct,stimulus,key_press,responses
,html-keyboard-response,30,106544,0.0-5.0-1.3,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,"[170, 33, 87, 223, 61, 66, 125, 108, 2, 36, 135, 18, 29, 75, 206, 224, 227, 1, 137, 46, 46, 220, 243, 205, 41, 165, 168, 159, 183, 224, 152, 208]",True,,,,,,,,,,,,,"<div style=""width:150px;height:56px;font-size:30px;text-align:center;"">correct!</div>",,
,p5vs_yn,31,108924,0.0-6.0-0.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,"[170, 33, 87, 223, 61, 66, 125, 108, 2, 36, 135, 18, 29, 75, 206, 224, 227, 1, 137, 46, 46, 220, 243, 205, 41, 165, 168, 159, 183, 224, 152, 208]",True,,,8.0,0.0,615.2020667912439,f,"[-0.16666666666666602, 0.33333333333333304]","[[-0.33333333333333304, 0], [0.33333333333333304, -0.33333333333333304], [0.16666666666666602, -0.16666666666666602], [0.16666666666666602, 0], [-0.16666666666666602, 0.16666666666666602], [0.33333333333333304, 0.33333333333333304], [-0.16666666666666602, -0.16666666666666602]]",550.9729331824929,f,absence1,1.0,,,
,html-keyboard-response,32,109927,0.0-6.0-1.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,"[170, 33, 87, 223, 61, 66, 125, 108, 2, 36, 135, 18, 29, 75, 206, 224, 227, 1, 137, 46, 46, 220, 243, 205, 41, 165, 168, 159, 183, 224, 152, 208]",True,,,,,,,,,,,,,"<div style=""width:150px;height:56px;font-size:30px;text-align:center;"">correct!</div>",,
,p5vs_yn,33,111756,0.0-6.0-0.1,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,"[170, 33, 87, 223, 61, 66, 125, 108, 2, 36, 135, 18, 29, 75, 206, 224, 227, 1, 137, 46, 46, 220, 243, 205, 41, 165, 168, 159, 183, 224, 152, 208]",True,,,4.0,0.0,486.7309777298942,f,"[-0.16666666666666602, 0.33333333333333304]","[[0.33333333333333304, -0.16666666666666602], [0.33333333333333304, -0.33333333333333304], [-0.33333333333333304, 0.33333333333333304]]",132.879022276029,f,absence1,1.0,,,
,html-keyboard-response,34,112760,0.0-6.0-1.1,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,"[170, 33, 87, 223, 61, 66, 125, 108, 2, 36, 135, 18, 29, 75, 206, 224, 227, 1, 137, 46, 46, 220, 243, 205, 41, 165, 168, 159, 183, 224, 152, 208]",True,,,,,,,,,,,,,"<div style=""width:150px;height:56px;font-size:30px;text-align:center;"">correct!</div>",,
,p5vs_yn,35,114890,0.0-6.0-0.2,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,"[170, 33, 87, 223, 61, 66, 125, 108, 2, 36, 135, 18, 29, 75, 206, 224, 227, 1, 137, 46, 46, 220, 243, 205, 41, 165, 168, 159, 183, 224, 152, 208]",True,,,8.0,0.0,547.4067336879671,f,"[-0.33333333333333304, 0]","[[0.33333333333333304, 0], [0.33333333333333304, 0.16666666666666602], [-0.16666666666666602, 0], [0.16666666666666602, -0.33333333333333304], [0.16666666666666602, 0.16666666666666602], [0, 0.16666666666666602], [0, -0.33333333333333304]]",370.21826626732945,f,absence1,1.0,,,
,html-keyboard-response,36,115895,0.0-6.0-1.2,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,"[170, 33, 87, 223, 61, 66, 125, 108, 2, 36, 135, 18, 29, 75, 206, 224, 227, 1, 137, 46, 46, 220, 243, 205, 41, 165, 168, 159, 183, 224, 152, 208]",True,,,,,,,,,,,,,"<div style=""width:150px;height:56px;font-size:30px;text-align:center;"">correct!</div>",,
,p5vs_yn,37,118657,0.0-6.0-0.3,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,"[170, 33, 87, 223, 61, 66, 125, 108, 2, 36, 135, 18, 29, 75, 206, 224, 227, 1, 137, 46, 46, 220, 243, 205, 41, 165, 168, 159, 183, 224, 152, 208]",True,,,4.0,0.0,641.4492739830166,f,"[0, -0.16666666666666602]","[[-0.33333333333333304, 0.33333333333333304], [-0.33333333333333304, -0.16666666666666602], [0, 0]]",909.4407260417938,f,absence1,1.0,,,
,html-keyboard-response,38,119661,0.0-6.0-1.3,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,"[170, 33, 87, 223, 61, 66, 125, 108, 2, 36, 135, 18, 29, 75, 206, 224, 227, 1, 137, 46, 46, 220, 243, 205, 41, 165, 168, 159, 183, 224, 152, 208]",True,,,,,,,,,,,,,"<div style=""width:150px;height:56px;font-size:30px;text-align:center;"">correct!</div>",,
,survey-text,39,125130,0.0-7.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,"[170, 33, 87, 223, 61, 66, 125, 108, 2, 36, 135, 18, 29, 75, 206, 224, 227, 1, 137, 46, 46, 220, 243, 205, 41, 165, 168, 159, 183, 224, 152, 208]",True,,5448.120000073686,,,,,,,,,,,,,"{""worker_comments"":""""}"
