session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,First language,Nationality,Sex,Student Status
5f77262ec940481ef38f5cb6,5aec1707c09cd900015d7408,APPROVED,08:03.4,10:15.7,132.32,56,339,3,99,15:59.4,3124843D,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United Kingdom,Male,No
5f77262fcca3e720ae34618a,5747ac9d5bef980010b0414b,APPROVED,08:02.6,11:36.0,213.315,50,958,5,100,15:59.7,3124843D,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No
5f772635b999401f9a7e17f0,5efb04364cee780008501654,APPROVED,12:05.7,15:33.3,207.581,33,47,2,98,15:44.3,3124843D,United Kingdom,United Kingdom,Full-Time,English,,United Kingdom,Female,No
5f77263685dfa11fa66b7158,5e7548f451bddb0aceb07d3f,APPROVED,08:09.0,11:34.3,205.368,31,86,0,100,15:57.0,3124843D,United States,United States,Full-Time,English,,United States,Male,No
5f7726373a2eb61fb2649cf4,5e3019c0b5ba77016e2bcaf4,APPROVED,08:07.4,13:09.4,301.916,56,200,0,100,15:57.5,3124843D,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Female,No
5f77263a79a4421f2a35f6c6,575b2b408b705300078ae5e6,APPROVED,08:11.7,10:15.9,124.21,31,1220,2,100,15:48.0,3124843D,United Kingdom,United Kingdom,Full-Time,English,,United Kingdom,Female,No
5f77263ef640201fcf7ede90,5e0f31a34fa02a656250044a,APPROVED,08:14.5,11:17.3,182.774,47,225,0,100,15:55.5,3124843D,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No
5f77263f107b1d1fe93fcadb,5eac8a97456fbf2f9b1740cc,APPROVED,08:17.4,11:10.0,172.533,37,91,0,100,15:54.6,3124843D,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,No
5f77264637b6a5096bb24e8d,5bdc1c289ab26e0001a46b96,APPROVED,08:27.3,11:17.3,169.967,27,169,1,100,15:51.5,3124843D,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,No
5f772647fcbd2920034d559d,5eea3abe701f9c083b4344d4,APPROVED,08:23.3,12:44.2,260.933,,36,0,100,15:53.5,3124843D,United Kingdom,United Kingdom,DATA EXPIRED,English,English,United Kingdom,Female,No
5f7726476f28d61e08ed41a2,5ea15f2e173fb7000932a6ff,APPROVED,08:32.6,14:35.6,363.019,62,141,0,100,15:49.7,3124843D,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,,United Kingdom,Male,No
5f7726480771861fc25dfdc0,5f5634241dd5b50165a94243,APPROVED,08:27.5,11:17.2,169.649,21,12,1,99,15:50.6,3124843D,United Kingdom,United Kingdom,Full-Time,,English,United Kingdom,Female,No
5f77266de35e771f0f1655df,5dc5da21d999de45a504651b,APPROVED,09:01.3,11:52.4,171.02,41,336,0,100,15:47.2,3124843D,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United Kingdom,Male,No
5f77268d99c5641f92b52ad9,5f128dcf59ad091ee1d084ae,APPROVED,09:48.7,12:02.4,133.739,42,72,0,100,15:46.2,3124843D,South Africa,United Kingdom,Full-Time,English,English,United Kingdom,Female,No
5f77274c0c01561fdf40ff00,5dd6f563270f44688d3cd745,APPROVED,12:47.7,14:59.3,131.588,57,571,2,100,15:43.6,3124843D,United States,United States,Full-Time,English,,United States,Female,No
5f77283b298a6120ca64dc5f,58794c1e327dab000199ea58,APPROVED,16:49.5,19:45.5,176.035,63,628,7,99,20:05.5,3124843D,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,,United Kingdom,Female,No
5f77296310236e09413cf6f1,5b1a86044c72120001f1ec4d,APPROVED,21:44.2,23:56.2,131.957,22,380,0,100,34:27.8,3124843D,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United Kingdom,Male,Yes
5f772965ceb01f2049132406,5c371dd21ede2b0001152915,APPROVED,21:47.9,27:27.0,339.061,21,313,2,100,34:31.7,3124843D,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Female,Yes
5f7729662fefba20529e9108,5f59f42bfb59c302777b0425,APPROVED,21:44.3,25:19.7,215.346,24,16,1,96,34:39.1,3124843D,United Kingdom,United Kingdom,Other,DATA EXPIRED,English,United Kingdom,Female,Yes
5f77296602a1e50f188a6390,5c582f95caffa2000175bc72,APPROVED,24:44.1,27:45.7,181.588,34,382,2,100,34:35.2,3124843D,United Kingdom,United Kingdom,Full-Time,English,,United Kingdom,Female,No
